num_of_agents,items_per_agent,value_noise_ratio,alpha,algorithm,seed,success,max_overload,runtime,num_items,instance_size
20,3,0.0,0.8,hffd,4,1,-0.960000000000008,0.0053597739897668,60,1200
20,3,0.0,1.0,hffd,0,1,-0.1999999999999886,0.0056600910029374,60,1200
20,3,0.0,1.0,hffd,1,1,-0.5999999999999943,0.005560820995015,60,1200
20,3,0.0,1.0,hffd,2,1,-0.0500000000000113,0.0069285320059861,60,1200
20,3,0.0,1.0,hffd,3,1,-0.25,0.0057550789933884,60,1200
20,3,0.0,1.0,hffd,4,1,-0.9499999999999886,0.0061979189922567,60,1200
20,3,0.0,1.2,hffd,0,1,-0.2399999999999806,0.005512551011634,60,1200
20,3,0.0,1.2,hffd,1,1,-0.3199999999999932,0.0055244109971681,60,1200
20,3,0.0,1.2,hffd,2,1,-0.4599999999999795,0.0059371399984229,60,1200
20,3,0.0,1.2,hffd,3,1,-0.6999999999999886,0.0055040559964254,60,1200
20,3,0.0,1.2,hffd,4,1,-0.9399999999999976,0.0053180399991106,60,1200
20,3,0.3,0.8,hffd,0,1,-0.1819032846516108,0.0056975740008056,60,1200
20,3,0.3,0.8,hffd,1,1,-0.1016009294491482,0.0067723959946306,60,1200
20,3,0.3,0.8,hffd,2,1,-0.0899312235647187,0.0056106010015355,60,1200
20,3,0.3,0.8,hffd,3,1,-0.0318671065580957,0.0062237399979494,60,1200
20,3,0.3,0.8,hffd,4,1,-0.0457809764434102,0.0061890040087746,60,1200
20,3,0.3,1.0,hffd,0,1,-0.0192130110909829,0.0057835649931803,60,1200
20,3,0.3,1.0,hffd,1,1,-0.0533450975025857,0.0060580839926842,60,1200
20,3,0.3,1.0,hffd,2,1,-0.7254279628146492,0.0056769030052237,60,1200
20,3,0.3,1.0,hffd,3,1,-0.3252293710082199,0.0051717359892791,60,1200
20,3,0.3,1.0,hffd,4,1,-0.2016991833986878,0.0056417129962937,60,1200
20,3,0.3,1.2,hffd,0,1,-0.0742377528983126,0.0056301290023839,60,1200
20,3,0.3,1.2,hffd,1,1,-0.0519186237658004,0.0066595349926501,60,1200
20,3,0.3,1.2,hffd,2,1,-0.2212896097909151,0.0061546719953184,60,1200
20,3,0.3,1.2,hffd,3,1,-0.1056861304317067,0.0057367840054212,60,1200
20,3,0.3,1.2,hffd,4,1,-0.4822260797580782,0.0075974709907313,60,1200
20,6,0.0,0.8,hffd,0,1,-0.6399999999999864,0.0178214549960102,120,2400
20,6,0.0,0.8,hffd,1,1,-0.3600000000000136,0.0132288390013854,120,2400
20,6,0.0,0.8,hffd,2,1,-0.0800000000000409,0.0133833860018057,120,2400
20,6,0.0,0.8,hffd,3,1,-0.6000000000000227,0.0136095399939222,120,2400
20,6,0.0,0.8,hffd,4,1,-0.6399999999999864,0.0151998210058081,120,2400
20,6,0.0,1.0,hffd,0,1,-0.5500000000000114,0.0149501809937646,120,2400
20,6,0.0,1.0,hffd,1,1,-0.9499999999999886,0.0152768099942477,120,2400
20,6,0.0,1.0,hffd,2,1,-0.6000000000000227,0.0164031200110912,120,2400
20,6,0.0,1.0,hffd,3,1,-0.25,0.0152250999963143,120,2400
20,6,0.0,1.0,hffd,4,1,-0.5500000000000114,0.0146529769990593,120,2400
20,6,0.0,1.2,hffd,0,1,-0.4599999999999795,0.0150718890072312,120,2400
20,6,0.0,1.2,hffd,1,1,-0.5399999999999636,0.0143243030033772,120,2400
20,6,0.0,1.2,hffd,2,1,-0.1200000000000045,0.0144604060042183,120,2400
20,6,0.0,1.2,hffd,3,1,-0.8999999999999773,0.0146204939956078,120,2400
20,6,0.0,1.2,hffd,4,1,-0.4599999999999227,0.0161594639939721,120,2400
20,6,0.3,0.8,hffd,0,1,-0.041618553359001,0.0147352499916451,120,2400
